stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,bt_id
0367,0367,NORTHERN LIGHTS & CIMMARON WNW,61.195373,-149.759002,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1708,1708
0368,0368,NORTHERN LIGHTS & BAXTER WNW,61.195355,-149.764613,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1709,1709
0369,0369,NORTHERN LIGHTS & DERBY WNW,61.195348,-149.769305,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1710,1710
0372,0372,DEBARR & PATTERSON WNW,61.209837,-149.749021,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1711,1711
0373,0373,DEBARR & TURPIN WNW,61.20986,-149.757059,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1712,1712
0374,0374,DEBARR & EDWARD ENE,61.209834,-149.763379,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1713,1713
0385,0385,NORTHERN LIGHTS & BONIFACE WNW,61.19539,-149.780008,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1722,1722
0386,0386,NORTHERN LIGHTS & WESLEYAN WNW,61.195349,-149.789867,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1723,1723
0387,0387,NORTHERN LIGHTS & EAST HS ENE,61.199028,-149.801087,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1724,1724
0388,0388,NORTHERN LIGHTS & BRAGAW WNW,61.199084,-149.809731,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1725,1725
0391,0391,UAA DRIVE & NORTHERN LIGHTS SSW,61.195274,-149.827138,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1726,1726
0392,0392,UAA DRIVE & PROVIDENCE NNW,61.19092,-149.82331,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1727,1727
0396,0396,LAKE OTIS & PROVIDENCE NNE,61.18871,-149.837879,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1728,1728
